# Exhaustive K rule/declaration inventory
source_files=26
inventory_items=937
category_counts={'claim': 2, 'configuration': 1, 'context': 5, 'rule': 699, 'syntax': 230}
flag_counts={'concrete': 35, 'function': 148, 'macro': 4, 'opaque/no-evaluators': 22, 'owise': 26, 'priority': 45, 'strictness': 2, 'symbol': 25, 'total': 108}
per_file_counts:
  /candidate/spec.k: {'claim': 2}
  /candidate/verification.k: {'flag:function': 3, 'flag:total': 1, 'rule': 4, 'syntax': 3}
  /reference/reference-semantics/semantics/assert.k: {'flag:priority': 1, 'rule': 3}
  /reference/reference-semantics/semantics/bool.k: {'context': 1, 'flag:priority': 5, 'rule': 13}
  /reference/reference-semantics/semantics/builtins.k: {'flag:function': 29, 'flag:opaque/no-evaluators': 1, 'flag:owise': 10, 'flag:priority': 1, 'flag:symbol': 1, 'flag:total': 22, 'rule': 137, 'syntax': 38}
  /reference/reference-semantics/semantics/call.k: {'flag:function': 1, 'flag:owise': 2, 'flag:priority': 5, 'flag:total': 1, 'rule': 21, 'syntax': 3}
  /reference/reference-semantics/semantics/comprehension.k: {'flag:macro': 3, 'rule': 7, 'syntax': 3}
  /reference/reference-semantics/semantics/concrete.k: {'flag:function': 3, 'flag:owise': 1, 'flag:priority': 2, 'flag:total': 1, 'rule': 16, 'syntax': 5}
  /reference/reference-semantics/semantics/controls.k: {'flag:owise': 3, 'flag:priority': 6, 'rule': 34, 'syntax': 3}
  /reference/reference-semantics/semantics/core.k: {'configuration': 1, 'flag:function': 15, 'flag:owise': 3, 'flag:priority': 2, 'flag:total': 10, 'rule': 46, 'syntax': 37}
  /reference/reference-semantics/semantics/dict.k: {'flag:function': 8, 'flag:owise': 1, 'flag:priority': 2, 'flag:total': 4, 'rule': 28, 'syntax': 12}
  /reference/reference-semantics/semantics/float.k: {'flag:concrete': 26, 'flag:function': 26, 'flag:opaque/no-evaluators': 19, 'flag:priority': 4, 'flag:symbol': 22, 'flag:total': 25, 'rule': 121, 'syntax': 34}
  /reference/reference-semantics/semantics/functions.k: {'flag:priority': 1, 'rule': 15, 'syntax': 4}
  /reference/reference-semantics/semantics/int.k: {'flag:function': 1, 'rule': 16, 'syntax': 1}
  /reference/reference-semantics/semantics/iter.k: {'syntax': 1}
  /reference/reference-semantics/semantics/list.k: {'flag:function': 3, 'flag:owise': 1, 'flag:priority': 2, 'flag:total': 2, 'rule': 27, 'syntax': 5}
  /reference/reference-semantics/semantics/methods.k: {'flag:function': 27, 'flag:owise': 4, 'flag:priority': 3, 'flag:total': 22, 'rule': 75, 'syntax': 27}
  /reference/reference-semantics/semantics/operators.k: {'context': 2, 'flag:owise': 1, 'flag:priority': 5, 'rule': 10}
  /reference/reference-semantics/semantics/range.k: {'flag:function': 2, 'flag:total': 1, 'rule': 6, 'syntax': 2}
  /reference/reference-semantics/semantics/set.k: {'flag:function': 5, 'flag:total': 5, 'rule': 12, 'syntax': 6}
  /reference/reference-semantics/semantics/sort.k: {'flag:concrete': 9, 'flag:function': 6, 'flag:opaque/no-evaluators': 2, 'flag:priority': 1, 'flag:symbol': 2, 'flag:total': 4, 'rule': 19, 'syntax': 6}
  /reference/reference-semantics/semantics/str.k: {'flag:function': 5, 'flag:total': 4, 'rule': 28, 'syntax': 5}
  /reference/reference-semantics/semantics/subscript.k: {'context': 2, 'flag:function': 13, 'flag:priority': 2, 'flag:total': 6, 'rule': 40, 'syntax': 15}
  /reference/reference-semantics/semantics/syntax.k: {'flag:macro': 1, 'flag:strictness': 2, 'syntax': 16}
  /reference/reference-semantics/semantics/tuple.k: {'flag:function': 1, 'flag:priority': 3, 'rule': 21, 'syntax': 4}

id	file	line	kind	flags	decision	complete_statement
K0332	/reference/reference-semantics/semantics/core.k	157	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Scope ::= "builtinsScope" [function, total]
K0333	/reference/reference-semantics/semantics/core.k	158	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule builtinsScope => scope(.Map [ "len" <- builtinV("len") ] [ "set" <- builtinV("set") ] [ "sum" <- builtinV("sum") ] [ "abs" <- builtinV("abs") ] [ "min" <- builtinV("min") ] [ "max" <- builtinV("max") ] [ "ord" <- builtinV("ord") ] [ "chr" <- builtinV("chr") ] [ "range" <- builtinV("range") ] [ "all" <- builtinV("all") ] [ "any" <- builtinV("any") ] [ "zip" <- builtinV("zip") ] [ "isinstance" <- builtinV("isinstance") ] [ "sorted" <- builtinV("sorted") ] [ "list" <- builtinV("list") ] [ "round" <- builtinV("round") ] [ "bin" <- builtinV("bin") ] [ "enumerate" <- builtinV("enumerate") ] [ "map" <- builtinV("map") ] [ "eval" <- builtinV("eval") ] [ "int" <- typeV("int") ] [ "str" <- typeV("str") ] [ "float" <- typeV("float") ], root)
K0334	/reference/reference-semantics/semantics/core.k	185	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax ApplyK ::= toCall(Val)
K0335	/reference/reference-semantics/semantics/core.k	186	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax KItem ::= #evalArgs(Exprs, Vals, ApplyK) | #evalArgCont(Exprs, Vals, ApplyK) | #applyK(ApplyK, Vals)
K0336	/reference/reference-semantics/semantics/core.k	189	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #evalArgs((A:Expr, REST:Exprs), ACC:Vals, K:ApplyK) => A ~> #evalArgCont(REST, ACC, K) ... </k>
K0337	/reference/reference-semantics/semantics/core.k	190	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> V:Val ~> #evalArgCont(REST:Exprs, ACC:Vals, K:ApplyK) => #evalArgs(REST, appendVal(ACC, V), K) ... </k>
K0338	/reference/reference-semantics/semantics/core.k	191	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #evalArgs(.Exprs, ACC:Vals, K:ApplyK) => #applyK(K, ACC) ... </k>
K0339	/reference/reference-semantics/semantics/core.k	194	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> Int(I:Int) => I ... </k>
K0340	/reference/reference-semantics/semantics/core.k	195	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> Bool(B:Bool) => B ... </k>
K0341	/reference/reference-semantics/semantics/core.k	196	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> NoneVal => noneV ... </k>
K0342	/reference/reference-semantics/semantics/core.k	199	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Bool ::= truthy(Val) [function]
K0343	/reference/reference-semantics/semantics/core.k	200	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule truthy(B:Bool) => B
K0344	/reference/reference-semantics/semantics/core.k	201	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule truthy(noneV) => false
K0345	/reference/reference-semantics/semantics/core.k	202	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule truthy(I:Int) => I =/=Int 0
K0346	/reference/reference-semantics/semantics/core.k	203	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule truthy(str(S:IntSeq)) => notBool (S ==K .IntSeq)
K0347	/reference/reference-semantics/semantics/core.k	204	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule truthy(list(V:ValSeq)) => notBool (V ==K .ValSeq)
K0348	/reference/reference-semantics/semantics/core.k	205	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule truthy(tuple(V:ValSeq)) => notBool (V ==K .ValSeq)
K0349	/reference/reference-semantics/semantics/core.k	208	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Val ::= applyUn(String, Val) [function]
K0350	/reference/reference-semantics/semantics/core.k	209	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Val ::= applyBin(String, Val, Val) [function]
K0351	/reference/reference-semantics/semantics/core.k	210	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Bool ::= applyCmp(String, Val, Val) [function]
K0352	/reference/reference-semantics/semantics/core.k	213	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Vals ::= appendVal(Vals, Val) [function, total]
K0353	/reference/reference-semantics/semantics/core.k	214	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule appendVal(.Vals, V:Val) => V , .Vals
K0354	/reference/reference-semantics/semantics/core.k	215	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule appendVal((V0:Val, VS:Vals), V:Val) => V0 , appendVal(VS, V)
K0355	/reference/reference-semantics/semantics/core.k	217	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax ValSeq ::= vals2valSeq(Vals) [function, total]
K0356	/reference/reference-semantics/semantics/core.k	218	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule vals2valSeq(.Vals) => .ValSeq
K0357	/reference/reference-semantics/semantics/core.k	219	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule vals2valSeq((V:Val, VS:Vals)) => vCons(V, vals2valSeq(VS))
K0358	/reference/reference-semantics/semantics/core.k	223	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Int ::= vsLen(ValSeq) [function, total]
K0359	/reference/reference-semantics/semantics/core.k	224	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule vsLen(.ValSeq) => 0
K0360	/reference/reference-semantics/semantics/core.k	225	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule vsLen(vCons(_:Val, S:ValSeq)) => 1 +Int vsLen(S)
K0361	/reference/reference-semantics/semantics/core.k	227	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Int ::= isLen(IntSeq) [function, total]
K0362	/reference/reference-semantics/semantics/core.k	228	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule isLen(.IntSeq) => 0
K0363	/reference/reference-semantics/semantics/core.k	229	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule isLen(iCons(_:Int, S:IntSeq)) => 1 +Int isLen(S)
K0364	/reference/reference-semantics/semantics/core.k	233	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax ValSeq ::= setVSAt(ValSeq, Int, Val) [function, total]
K0365	/reference/reference-semantics/semantics/core.k	234	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule setVSAt(.ValSeq, _:Int, _:Val) => .ValSeq
K0366	/reference/reference-semantics/semantics/core.k	235	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule setVSAt(vCons(_:Val, S:ValSeq), 0, V:Val) => vCons(V, S)
K0367	/reference/reference-semantics/semantics/core.k	236	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule setVSAt(vCons(W:Val, S:ValSeq), I:Int, V:Val) => vCons(W, setVSAt(S, I -Int 1, V)) requires I >Int 0
K0368	/reference/reference-semantics/semantics/core.k	238	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule setVSAt(VS:ValSeq, I:Int, _:Val) => VS requires I <Int 0 endmodule
K0369	/reference/reference-semantics/semantics/dict.k	20	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Val ::= dictV(ValSeq, ValSeq)
K0370	/reference/reference-semantics/semantics/dict.k	23	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax KItem ::= #dictAcc(Entries, ValSeq, ValSeq) | #dictKey(Expr, Entries, ValSeq, ValSeq) | #dictVal(Val, Entries, ValSeq, ValSeq)
K0371	/reference/reference-semantics/semantics/dict.k	26	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> DictExpr(ES:Entries) => #dictAcc(ES, .ValSeq, .ValSeq) ... </k>
K0372	/reference/reference-semantics/semantics/dict.k	27	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #dictAcc(.Entries, KS:ValSeq, VS:ValSeq) => dictV(KS, VS) ... </k>
K0373	/reference/reference-semantics/semantics/dict.k	28	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #dictAcc((Entry(K:Expr, V:Expr), REST:Entries), KS:ValSeq, VS:ValSeq) => K ~> #dictKey(V, REST, KS, VS) ... </k>
K0374	/reference/reference-semantics/semantics/dict.k	30	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> KV:Val ~> #dictKey(V:Expr, REST:Entries, KS:ValSeq, VS:ValSeq) => V ~> #dictVal(KV, REST, KS, VS) ... </k>
K0375	/reference/reference-semantics/semantics/dict.k	32	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> VV:Val ~> #dictVal(KV:Val, REST:Entries, KS:ValSeq, VS:ValSeq) => #dictAcc(REST, dPutK(KS, KV), dPutV(KS, VS, KV, VV)) ... </k>
K0376	/reference/reference-semantics/semantics/dict.k	37	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Bool ::= dHasKey(ValSeq, Val) [function, total]
K0377	/reference/reference-semantics/semantics/dict.k	38	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule dHasKey(.ValSeq, _:Val) => false
K0378	/reference/reference-semantics/semantics/dict.k	39	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule dHasKey(vCons(A:Val, _:ValSeq), K:Val) => true requires A ==K K
K0379	/reference/reference-semantics/semantics/dict.k	40	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule dHasKey(vCons(A:Val, R:ValSeq), K:Val) => dHasKey(R, K) requires notBool (A ==K K)
K0380	/reference/reference-semantics/semantics/dict.k	43	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax ValSeq ::= dPutK(ValSeq, Val) [function, total]
K0381	/reference/reference-semantics/semantics/dict.k	44	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule dPutK(KS:ValSeq, K:Val) => KS requires dHasKey(KS, K)
K0382	/reference/reference-semantics/semantics/dict.k	45	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule dPutK(KS:ValSeq, K:Val) => valSeqConcat(KS, vCons(K, .ValSeq)) requires notBool dHasKey(KS, K)
K0383	/reference/reference-semantics/semantics/dict.k	49	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax ValSeq ::= dPutV(ValSeq, ValSeq, Val, Val) [function, total]
K0384	/reference/reference-semantics/semantics/dict.k	50	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule dPutV(vCons(A:Val, _:ValSeq), vCons(_:Val, VR:ValSeq), K:Val, V:Val) => vCons(V, VR) requires A ==K K
K0385	/reference/reference-semantics/semantics/dict.k	52	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule dPutV(vCons(A:Val, KR:ValSeq), vCons(B:Val, VR:ValSeq), K:Val, V:Val) => vCons(B, dPutV(KR, VR, K, V)) requires notBool (A ==K K)
K0386	/reference/reference-semantics/semantics/dict.k	54	rule	owise	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule dPutV(_KS:ValSeq, VS:ValSeq, _K:Val, V:Val) => valSeqConcat(VS, vCons(V, .ValSeq)) [owise]
K0387	/reference/reference-semantics/semantics/dict.k	58	rule	priority	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #applyK(toCall(boundMethodV(dictV(KS:ValSeq, _:ValSeq), "keys")), .Vals) => #alloc(list(KS)) ... </k> [priority(40)]
K0388	/reference/reference-semantics/semantics/dict.k	63	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyIndexD(dictV(KS:ValSeq, VS:ValSeq), K:Val) => dGet(KS, VS, K)
K0389	/reference/reference-semantics/semantics/dict.k	64	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Val ::= applyIndexD(Val, Val) [function]
K0390	/reference/reference-semantics/semantics/dict.k	65	rule	priority	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> Subscript(dictV(KS:ValSeq, VS:ValSeq), K:Val) => applyIndexD(dictV(KS, VS), K) ... </k> [priority(45)]
K0391	/reference/reference-semantics/semantics/dict.k	70	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Val ::= dictSet(Val, Val, Val) [function]
K0392	/reference/reference-semantics/semantics/dict.k	71	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule dictSet(dictV(KS:ValSeq, VS:ValSeq), K:Val, V:Val) => dictV(dPutK(KS, K), dPutV(KS, VS, K, V))
K0393	/reference/reference-semantics/semantics/dict.k	76	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax KItem ::= #dsetK(String, Val)
K0394	/reference/reference-semantics/semantics/dict.k	77	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> Assign(Subscript(Name(X:String), K:Expr), VV:Val) => K ~> #dsetK(X, VV) ... </k>
K0395	/reference/reference-semantics/semantics/dict.k	78	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> KV:Val ~> #dsetK(X:String, VV:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- dictSet({M[X]}:>Val, KV, VV) ], _) ... </scopes> requires X in_keys(M) andBool notBool isRefV({M[X]}:>Val)
K0396	/reference/reference-semantics/semantics/dict.k	82	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> KV:Val ~> #dsetK(X:String, VV:Val) => #dsetV({M[X]}:>Val, KV, VV) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes> requires X in_keys(M) andBool isRefV({M[X]}:>Val)
K0397	/reference/reference-semantics/semantics/dict.k	86	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax KItem ::= #dsetV(Val, Val, Val)
K0398	/reference/reference-semantics/semantics/dict.k	87	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> #dsetV(ref(H:Int), I:Int, VV:Val) => .K ... </k> <heap> ... H |-> list(VS:ValSeq => setVSAt(VS, normIdxD(I, vsLen(VS)), VV)) ... </heap>
K0399	/reference/reference-semantics/semantics/dict.k	90	syntax	function,total	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Int ::= normIdxD(Int, Int) [function, total]
K0400	/reference/reference-semantics/semantics/dict.k	91	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule normIdxD(I:Int, LEN:Int) => I +Int LEN requires I <Int 0
K0401	/reference/reference-semantics/semantics/dict.k	92	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule normIdxD(I:Int, _:Int) => I requires I >=Int 0
K0402	/reference/reference-semantics/semantics/dict.k	95	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("==", dictV(KS1:ValSeq, VS1:ValSeq), dictV(KS2:ValSeq, VS2:ValSeq)) => (vsLen(KS1) ==Int vsLen(KS2)) andBool dSubset(KS1, VS1, KS2, VS2)
K0403	/reference/reference-semantics/semantics/dict.k	97	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Bool ::= dSubset(ValSeq, ValSeq, ValSeq, ValSeq) [function]
K0404	/reference/reference-semantics/semantics/dict.k	98	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule dSubset(.ValSeq, .ValSeq, _:ValSeq, _:ValSeq) => true
K0405	/reference/reference-semantics/semantics/dict.k	99	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule dSubset(vCons(K:Val, KR:ValSeq), vCons(V:Val, VR:ValSeq), KS2:ValSeq, VS2:ValSeq) => dHasKey(KS2, K) andBool (dGet(KS2, VS2, K) ==K V) andBool dSubset(KR, VR, KS2, VS2)
K0406	/reference/reference-semantics/semantics/dict.k	101	syntax	function	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Val ::= dGet(ValSeq, ValSeq, Val) [function]
K0407	/reference/reference-semantics/semantics/dict.k	102	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule dGet(vCons(A:Val, _:ValSeq), vCons(B:Val, _:ValSeq), K:Val) => B requires A ==K K
K0408	/reference/reference-semantics/semantics/dict.k	103	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule dGet(vCons(A:Val, KR:ValSeq), vCons(_:Val, VR:ValSeq), K:Val) => dGet(KR, VR, K) requires notBool (A ==K K) endmodule
K0409	/reference/reference-semantics/semantics/float.k	20	syntax	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	syntax Val ::= Float
K0410	/reference/reference-semantics/semantics/float.k	21	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule <k> Float(F:Float) => F ... </k>
K0411	/reference/reference-semantics/semantics/float.k	24	syntax	function,total,opaque/no-evaluators,symbol	FIXED_TRUST_BOUNDARY; INERT_FOR_SUBMITTED_PROGRAM	syntax Float ::= intFloatDiv(Int, Float) [function, total, symbol(intFloatDiv), no-evaluators]
K0412	/reference/reference-semantics/semantics/float.k	25	rule	concrete	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule intFloatDiv(I:Int, F:Float) => Int2Float(I, 53, 11) /Float F [concrete]
K0413	/reference/reference-semantics/semantics/float.k	27	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("/", I:Int, F:Float) => intFloatDiv(I, F)
K0414	/reference/reference-semantics/semantics/float.k	30	syntax	function,total,opaque/no-evaluators,symbol	FIXED_TRUST_BOUNDARY; INERT_FOR_SUBMITTED_PROGRAM	syntax Float ::= divII(Int, Int) [function, total, symbol(divII), no-evaluators]
K0415	/reference/reference-semantics/semantics/float.k	31	rule	concrete	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule divII(I1:Int, I2:Int) => Int2Float(I1, 53, 11) /Float Int2Float(I2, 53, 11) [concrete]
K0416	/reference/reference-semantics/semantics/float.k	32	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("/", I1:Int, I2:Int) => divII(I1, I2)
K0417	/reference/reference-semantics/semantics/float.k	37	syntax	function,total,opaque/no-evaluators,symbol	FIXED_TRUST_BOUNDARY; INERT_FOR_SUBMITTED_PROGRAM	syntax Float ::= floatMod(Float, Float) [function, total, symbol(floatMod), no-evaluators]
K0418	/reference/reference-semantics/semantics/float.k	38	rule	concrete	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule floatMod(F1:Float, F2:Float) => F1 -Float (floorFloat(F1 /Float F2) *Float F2) [concrete]
K0419	/reference/reference-semantics/semantics/float.k	39	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyBin("%", F1:Float, F2:Float) => floatMod(F1, F2)
K0420	/reference/reference-semantics/semantics/float.k	43	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("==", F1:Float, F2:Float) => F1 ==Float F2
K0421	/reference/reference-semantics/semantics/float.k	44	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("!=", F1:Float, F2:Float) => notBool (F1 ==Float F2)
K0422	/reference/reference-semantics/semantics/float.k	50	syntax	function,total,opaque/no-evaluators,symbol	FIXED_TRUST_BOUNDARY; INERT_FOR_SUBMITTED_PROGRAM	syntax Bool ::= floatLt(Float, Float) [function, total, symbol(floatLt), no-evaluators]
K0423	/reference/reference-semantics/semantics/float.k	51	rule	concrete	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule floatLt(F1:Float, F2:Float) => F1 <Float F2 [concrete]
K0424	/reference/reference-semantics/semantics/float.k	52	rule	-	ACCEPT_FIXED_SUPPLIED_SEMANTICS; USED_PATH_AUDITED_SEPARATELY	rule applyCmp("<", F1:Float, F2:Float) => floatLt(F1, F2)
